Rk,Player,Pos,MP,FG,FGA,FGP,3P,3PA,THREE,2P,2PA,TWO,Efg,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Bradley Beal,SG,35.4,10.9,22.7,0.48,2.2,6.5,0.331,8.7,16.2,0.54,0.528,7,7.8,0.898,1.2,3.6,4.8,4.8,1.1,0.3,3.3,2.4,31
2,Stephen Curry,PG,33.9,10.1,20.6,0.489,5,11.8,0.422,5.1,8.8,0.58,0.61,5.5,6,0.927,0.5,5,5.5,5.9,1.3,0.1,3.2,1.8,30.7
3,Damian Lillard,PG,35.9,8.8,20.1,0.44,4.1,10.8,0.379,4.8,9.3,0.51,0.541,6.9,7.5,0.925,0.5,3.7,4.2,7.7,0.9,0.3,3.2,1.6,28.7
4,Giannis Antetokounmpo,PF,33.8,10.3,18.3,0.565,1.1,3.7,0.304,9.2,14.6,0.631,0.596,6.7,9.8,0.684,1.7,9.5,11.2,6.1,1.2,1.3,3.7,2.8,28.5
5,Luka Doncic,PG,35.1,10.1,20.8,0.485,3,8.2,0.361,7.1,12.6,0.566,0.556,5.3,7.2,0.733,0.8,7.2,7.9,8.8,1,0.6,4.3,2.2,28.4
6,Kyrie Irving,PG,35.1,10.6,20.5,0.515,2.7,6.9,0.395,7.8,13.6,0.576,0.582,3.7,4,0.913,1.1,3.7,4.8,6.1,1.3,0.6,2.3,2.7,27.5
7,Zach LaVine\lavinza01,SG,35.2,9.8,19.4,0.506,3.4,8.2,0.416,6.4,11.2,0.572,0.594,4.4,5.2,0.848,0.6,4.5,5.1,5.1,0.8,0.5,3.6,2.3,27.5
8,Zion Williamson,PF,32.9,10.3,16.7,0.615,0.2,0.5,0.333,10.1,16.1,0.625,0.621,6,8.6,0.699,2.5,4.6,7.1,3.6,0.9,0.7,2.6,2.3,26.7
9,Donovan Mitchell,PG,33.4,9,20.6,0.438,3.4,8.7,0.386,5.7,11.9,0.476,0.52,5,6,0.845,0.9,3.5,4.4,5.2,1,0.3,2.8,2.2,26.4
10,Nikola Jokic,C,35.2,10.2,18.1,0.567,1.4,3.3,0.422,8.8,14.8,0.599,0.605,4.2,4.9,0.855,2.9,8.1,11,8.8,1.5,0.6,3.1,2.7,26.1
11,Kawhi Leonard,SF,34.6,9.4,18.3,0.515,2,5,0.395,7.5,13.4,0.56,0.568,5.1,5.8,0.878,1.2,5.4,6.6,5,1.7,0.4,2,1.7,26
12,Devin Booker,SG,33.7,9.4,19.2,0.488,2.1,5.9,0.35,7.3,13.3,0.55,0.542,4.8,5.6,0.864,0.4,3.8,4.2,4.5,0.8,0.3,3.3,2.8,25.7
13,Jayson Tatum,SF,35.5,9.3,20.3,0.458,2.9,7.5,0.384,6.4,12.8,0.501,0.529,4.1,4.7,0.873,0.7,6.4,7.1,4.2,1.2,0.4,2.5,1.8,25.6
14,LeBron James,PG,33.9,9.5,18.4,0.513,2.4,6.5,0.368,7.1,12,0.592,0.578,4.1,5.8,0.703,0.6,7.3,7.9,7.9,1,0.6,3.7,1.6,25.4
15,De'Aaron Fox,PG,35.1,9.2,19.1,0.479,1.8,5.6,0.325,7.3,13.5,0.543,0.527,5.1,7.1,0.71,0.6,2.9,3.5,7.1,1.5,0.5,3.1,2.9,25.2
